contrast,metric,exposed_orders,reference_orders,exposed_hours,reference_hours,exposed_dates,reference_dates,exposed_mean,reference_mean,difference,ci_low,ci_high,inference_eligible,bootstrap_samples,reason
Late versus on-time completed orders,_service,116927,215451,632,626,32,32,33.42344696548559,21.546841045063616,11.876605920421973,11.08475154138348,12.93230513935414,True,500,Whole-date bootstrap; association only.
Post-undispatch exposure versus no post-undispatch,_service,13961,318411,598,647,32,32,42.78711410357423,24.9766085342529,17.810505569321332,16.923122243993337,18.712648364579593,True,500,Whole-date bootstrap; association only.
At least four pre events versus fewer,_service,10376,321996,582,647,32,32,45.880647648419426,25.075218946819213,20.805428701600214,19.979693340801607,21.75169747277198,True,500,Whole-date bootstrap; association only.
At least four pre events versus fewer: recorded cost,cpo_total,10472,323666,583,649,32,32,1020.9991252400952,322.72014910737636,698.2789761327188,670.7408515761022,730.3115412925158,True,500,Whole-date bootstrap; association only.
Dropoff distance >3km versus <=1km: pre incidence,pre_any,25562,148201,621,616,32,32,0.479305218683984,0.17336590171456334,0.30593931696942067,0.2948558933723757,0.31607347203470265,True,500,Whole-date bootstrap; association only.
Observed wet versus dry hours: service,_service,22723,288595,44,563,5,32,28.350520764570405,25.589340771669644,2.761179992900761,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
Observed wet versus dry hours: recorded cost,cpo_total,22860,290118,44,565,5,32,414.9428080826581,341.3669803821229,73.57582770053517,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
High versus low observed orders per rider-hour: late >5min,_late5,108510,59818,232,180,31,32,0.1521610911436734,0.15797920358420542,-0.005818112440532014,-0.0213740881834429,0.012494512143224109,True,500,Whole-date bootstrap; association only.
High versus low observed orders per rider-hour: pre incidence,pre_any,109027,60275,232,180,31,32,0.2342905885698038,0.2801327250103691,-0.04584213644056531,-0.0649806393914538,-0.031644588492038724,True,500,Whole-date bootstrap; association only.
"High demand: low versus high observed supply, pre incidence",pre_any,0,211435,0,213,0,31,,0.2529524440135266,,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"High demand: low versus high observed supply, late >5min",_late5,0,210367,0,213,0,31,,0.1497097928857663,,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"Low demand: high versus low observed supply, recorded cost",cpo_total,0,6998,0,130,0,32,,347.6197939870511,,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"Low demand: high versus low observed supply, late >5min",_late5,0,6909,0,130,0,32,,0.1661600810536981,,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
Peak hours: observed wet versus dry service,_service,13729,165963,14,159,5,32,29.62063515186831,26.876296323076026,2.7443388287922836,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
Non-peak hours: observed wet versus dry service,_service,8994,122632,30,404,4,32,26.411739307686606,23.847650151129667,2.564089156556939,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
Peak hours: observed wet versus dry P95-tail incidence,_tail95,13729,165963,14,159,5,32,0.08784325151139923,0.05738025945542079,0.03046299205597844,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"Within-clock high demand: low versus high supply, pre incidence",pre_any,3177,98612,8,160,5,23,0.24268177525967893,0.25010140753660814,-0.007419632276929211,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"Within-clock high demand: low versus high supply, late >5min",_late5,3170,98120,8,160,5,23,0.13375394321766562,0.14601508357113738,-0.012261140353471756,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"Within-clock high demand: low versus high supply, service",_service,3170,98120,8,160,5,23,23.067045215562562,24.92423342166055,-1.8571882060979874,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"Within-clock high demand: low versus high supply, P95-tail incidence",_tail95,3170,98120,8,160,5,23,0.028706624605678233,0.03949245821443131,-0.010785833608753074,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"Within-clock low demand: high versus low supply, recorded cost",cpo_total,5823,61396,12,146,8,25,618.1021508488407,381.4209570675823,236.68119378125834,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
"Within-clock low demand: high versus low supply, late >5min",_late5,5788,61052,12,146,8,25,0.21890117484450589,0.165645679093232,0.05325549575127389,,,False,0,Insufficient independent-date/hour/group support; descriptive comparison only.
