family,segment,orders,hours,dates,descriptive_support,service_orders,mean_min,median_min,p75_min,p90_min,p95_min,variance_min2,late_eligible_orders,tail95_orders,tail95_rate,late_orders,late_rate,late5_rate,pre_eligible_orders,pre_affected_orders,pre_rate,pre_events,post_eligible_orders,post_affected_orders,post_rate,post_events,cost_known_orders,recorded_cost_total,recorded_cost_mean,recorded_aborted_leg_cost,recorded_order_value_mean,dimension_1,value_1,dimension_2,value_2,dimension_3,value_3
hour,0,6832,31,31,True,6779,20.680053596892364,18.55,25.066666666666666,32.88333333333333,39.03499999999999,100.64902714213859,6779,115.0,0.01696415400501549,1759.0,0.25947779908541085,0.10148989526478831,6832,1936.0,0.28337236533957844,3766.0,6832,296.0,0.04332552693208431,327.0,6832,3337210.452048052,488.4675720210849,11304.871119663429,7576.063704625293,hora_num,0,,,,
hour,1,3749,31,31,True,3708,19.567021754764472,17.733333333333334,23.383333333333333,30.833333333333332,36.31083333333333,86.78525157486455,3708,48.0,0.012944983818770227,1084.0,0.2923408845738943,0.10652642934196332,3749,956.0,0.25500133368898376,1638.0,3749,137.0,0.036543078154174444,150.0,3749,1779663.5855534375,474.70354375925245,5507.778410725715,7231.984699919979,hora_num,1,,,,
hour,2,475,29,29,True,473,22.62212825933756,20.15,26.9,34.38,45.48666666666664,149.29848411439983,473,16.0,0.03382663847780127,152.0,0.321353065539112,0.16701902748414377,475,175.0,0.3684210526315789,347.0,475,23.0,0.04842105263157895,23.0,475,275507.38043391216,580.0155377556046,754.1861767877143,7180.897915789473,hora_num,2,,,,
hour,3,26,12,12,False,25,54.16866666666667,46.4,66.83333333333333,90.17333333333335,108.91333333333328,1583.2422990740745,25,11.0,0.44,13.0,0.52,0.52,26,4.0,0.15384615384615385,5.0,26,1.0,0.038461538461538464,1.0,26,14417.113357142858,554.50435989011,27.7675,7871.326923076923,hora_num,3,,,,
hour,4,3,3,3,False,2,80.26666666666667,80.26666666666667,107.74166666666667,124.22666666666667,129.72166666666666,6039.005000000001,2,1.0,0.5,2.0,1.0,0.5,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,915.3057535720002,305.1019178573334,0.0,8969.666666666666,hora_num,4,,,,
hour,5,12,6,6,False,9,115.40185185185184,127.5,148.66666666666666,154.67333333333335,165.82,2038.841558641975,9,8.0,0.8888888888888888,9.0,1.0,0.8888888888888888,12,3.0,0.25,6.0,12,0.0,0.0,0.0,12,6120.437869642857,510.0364891369047,0.0,8510.5,hora_num,5,,,,
hour,6,37,12,12,False,33,53.9530303030303,47.833333333333336,61.86666666666667,94.95666666666668,113.47666666666663,772.2851988636362,33,14.0,0.42424242424242425,22.0,0.6666666666666666,0.6060606060606061,37,17.0,0.4594594594594595,45.0,37,4.0,0.10810810810810811,4.0,37,23082.96944643029,623.8640390927105,105.06500000000001,7170.445945945946,hora_num,6,,,,
hour,7,1295,31,31,True,1269,27.312805358550037,23.65,33.083333333333336,45.85,56.386666666666656,231.39248113532352,1269,94.0,0.07407407407407407,439.0,0.3459416863672183,0.20567375886524822,1295,421.0,0.3250965250965251,764.0,1295,60.0,0.04633204633204633,67.0,1295,408900.2487714226,315.7530878543804,1387.7541017835715,6190.980389961391,hora_num,7,,,,
hour,8,4097,31,31,True,4071,23.22734381396872,20.716666666666665,28.083333333333332,37.6,44.80833333333334,127.34691995904927,4071,133.0,0.032670105625153524,1482.0,0.3640383198231393,0.16556128715303364,4097,981.0,0.23944349524041983,1626.0,4097,111.0,0.027092994874298268,122.0,4097,1095047.6128660743,267.28035461705497,2519.034632140286,6640.310688308518,hora_num,8,,,,
hour,9,7468,31,31,True,7432,22.15711562612128,19.875,27.083333333333332,35.81666666666667,42.079999999999984,112.35995941652457,7432,159.0,0.021393972012917116,2832.0,0.38105489773950485,0.15379440258342303,7468,1677.0,0.22455811462238887,2892.0,7468,185.0,0.02477236207820032,218.0,7468,1965492.73993034,263.1886368412346,4251.4320517841425,6722.2811997857525,hora_num,9,,,,
