dataset,variable,meaning,unit,type,missing_values,missing_fraction,unique_values,semantic_status,source,business_interpretation
raw_orders,id_pedido,Unique order identifier,identifier,string,0,0.0,334144,source,Base de Pedidos (1).csv,Unique order identifier
raw_orders,id_comercio,Merchant identifier,identifier,string,0,0.0,2709,source,Base de Pedidos (1).csv,Merchant identifier
raw_orders,vertical,Order/service vertical,category,str,0,0.0,21,source,Base de Pedidos (1).csv,Order/service vertical
raw_orders,fecha_creacion,Recorded order creation time,"timestamp, timezone undocumented",str,0,0.0,334144,source,Base de Pedidos (1).csv,Recorded order creation time
raw_orders,sent_to_vendor_at,Recorded order sent to merchant,timestamp,str,8,2.3012046806503205e-05,334134,source,Base de Pedidos (1).csv,Recorded order sent to merchant
raw_orders,vendor_accepted_at,Recorded merchant acceptance; may follow rider notification,timestamp,str,38,0.00010930722233089022,334107,source,Base de Pedidos (1).csv,Recorded merchant acceptance; may follow rider notification
raw_orders,rider_accepted_at,Recorded final rider acceptance,timestamp,str,0,0.0,334144,source,Base de Pedidos (1).csv,Recorded final rider acceptance
raw_orders,rider_notified_at,Recorded final rider notification,timestamp,str,0,0.0,334144,source,Base de Pedidos (1).csv,Recorded final rider notification
raw_orders,rider_at_pu,Recorded rider arrival at pickup,timestamp,str,0,0.0,334144,source,Base de Pedidos (1).csv,Recorded rider arrival at pickup
raw_orders,rider_picked_up,Recorded pickup,timestamp,str,0,0.0,334144,source,Base de Pedidos (1).csv,Recorded pickup
raw_orders,rider_at_do,Recorded destination arrival; endpoint matched by tiempo_real,timestamp,str,549,0.0015792017120962825,333662,verified against elapsed time,Base de Pedidos (1).csv,Recorded destination arrival; endpoint matched by tiempo_real
raw_orders,rider_droped_off,Recorded final handoff; source spelling retained,timestamp,str,1683,0.004841159346918112,332586,source,Base de Pedidos (1).csv,Recorded final handoff; source spelling retained
raw_orders,vehicle,Retained rider vehicle; availability at earlier dispatch attempts is unobserved,category,str,0,0.0,3,source,Base de Pedidos (1).csv,Retained rider vehicle; availability at earlier dispatch attempts is unobserved
raw_orders,id_repartidor,Retained/final rider identifier; not the identity of a prior rejecting rider,identifier,string,0,0.0,5832,source,Base de Pedidos (1).csv,Retained/final rider identifier; not the identity of a prior rejecting rider
raw_orders,order_status,Recorded final snapshot status,category,str,0,0.0,3,source,Base de Pedidos (1).csv,Recorded final snapshot status
raw_orders,tiempo_estimado,Declared promised elapsed time,seconds,int64,0,0.0,1141,source interpretation; promise endpoint not independently documented,Base de Pedidos (1).csv,Declared promised elapsed time
raw_orders,tiempo_real,Declared elapsed time; compare creation to destination arrival,seconds,int64,0,0.0,5792,"timestamp-verified, rounding tolerance 1 second",Base de Pedidos (1).csv,Declared elapsed time; compare creation to destination arrival
raw_orders,pu_distance,Recorded final-rider approach distance,assumed metres,int64,0,0.0,3326,inferred; final assignment descriptor,Base de Pedidos (1).csv,Recorded final-rider approach distance
raw_orders,do_distance,Recorded pickup-to-destination distance,assumed metres,int64,0,0.0,6234,inferred,Base de Pedidos (1).csv,Recorded pickup-to-destination distance
raw_orders,undispatch_reason,Reason recorded on additional cost record; not a complete dispatch-event history,category,str,334144,0.9611671710140258,4,source,Base de Pedidos (1).csv,Reason recorded on additional cost record; not a complete dispatch-event history
raw_orders,demora_local,Opaque platform merchant-delay field; not equivalent to total pickup waiting,source units undocumented,float64,40503,0.11650711647547492,1850,unverified,Base de Pedidos (1).csv,Opaque platform merchant-delay field; not equivalent to total pickup waiting
raw_orders,f0_,Opaque recorded order-value field,source monetary units undocumented,float64,0,0.0,42281,inferred interpretation,Base de Pedidos (1).csv,Opaque recorded order-value field
raw_orders,pre_accept_undispatchs,Recorded pre-acceptance undispatch count,events,float64,8,2.3012046806503205e-05,34,source,Base de Pedidos (1).csv,Recorded pre-acceptance undispatch count
raw_orders,post_accept_undispatchs,Recorded post-acceptance undispatch count,events,float64,8,2.3012046806503205e-05,6,source,Base de Pedidos (1).csv,Recorded post-acceptance undispatch count
raw_orders,undispatch_impact,Opaque platform undispatch-impact field; not used as a causal estimate,undocumented,float64,3747,0.010778267422995938,3527,unverified,Base de Pedidos (1).csv,Opaque platform undispatch-impact field; not used as a causal estimate
raw_orders,cpo,Raw per-record cost in source; total recorded order cost in derived orders,source monetary units undocumented,float64,0,0.0,336963,source/derived according to dataset,Base de Pedidos (1).csv,Raw per-record cost in source; total recorded order cost in derived orders
raw_weather,date,date,see metric/field name,datetime64[us],0,0.0,2136,source meaning undocumented,Base de Clima.xlsx,date
raw_weather,event_type,Source event type or union of active event-window categories,category,str,0,0.0,1,source/derived,Base de Clima.xlsx,Source event type or union of active event-window categories
raw_weather,temperature,Hourly recorded temperature,assumed degrees Celsius,float64,0,0.0,176,source interpretation,Base de Clima.xlsx,Hourly recorded temperature
raw_weather,precip_mm,Hourly recorded precipitation,mm,float64,0,0.0,59,source column label,Base de Clima.xlsx,Hourly recorded precipitation
raw_weather,wind,Hourly recorded wind magnitude,unit undocumented,float64,0,0.0,87,source,Base de Clima.xlsx,Hourly recorded wind magnitude
raw_weather,condition,Hourly weather condition label,category,str,0,0.0,16,source,Base de Clima.xlsx,Hourly weather condition label
raw_events,date,date,see metric/field name,datetime64[us],0,0.0,73,source meaning undocumented,Base de Eventos Especiales.xlsx,date
raw_events,event_type,Source event type or union of active event-window categories,category,str,0,0.0,2,source/derived,Base de Eventos Especiales.xlsx,Source event type or union of active event-window categories
raw_shifts,shift_id,Recorded shift identifier,identifier,str,0,0.0,176235,source,Base de Turnos.xlsx,Recorded shift identifier
raw_shifts,rider_id,Rider identifier in recorded shifts,identifier,int64,0,0.0,5786,source,Base de Turnos.xlsx,Rider identifier in recorded shifts
raw_shifts,fecha_inicio,fecha inicio,calendar date,datetime64[us],67806,0.3847476380968593,64,source meaning undocumented,Base de Turnos.xlsx,fecha inicio
raw_shifts,hora_inicio,hora inicio,time of day,object,67806,0.3847476380968593,97268,source meaning undocumented,Base de Turnos.xlsx,hora inicio
raw_shifts,fecha_fin,fecha fin,calendar date,datetime64[us],67806,0.3847476380968593,64,source meaning undocumented,Base de Turnos.xlsx,fecha fin
raw_shifts,hora_fin,hora fin,time of day,object,67806,0.3847476380968593,92727,source meaning undocumented,Base de Turnos.xlsx,hora fin
orders,id_pedido,Unique order identifier,identifier,string,0,0.0,334144,source,Base de Pedidos (1).csv,Unique order identifier
orders,id_comercio,Merchant identifier,identifier,string,0,0.0,2709,source,Base de Pedidos (1).csv,Merchant identifier
orders,vertical,Order/service vertical,category,str,0,0.0,21,source,Base de Pedidos (1).csv,Order/service vertical
orders,fecha_creacion,Recorded order creation time,"timestamp, timezone undocumented",datetime64[us],0,0.0,334144,source,Base de Pedidos (1).csv,Recorded order creation time
orders,sent_to_vendor_at,Recorded order sent to merchant,timestamp,datetime64[us],8,2.3941773606588775e-05,334134,source,Base de Pedidos (1).csv,Recorded order sent to merchant
orders,vendor_accepted_at,Recorded merchant acceptance; may follow rider notification,timestamp,datetime64[us],37,0.00011073070293047308,334107,source,Base de Pedidos (1).csv,Recorded merchant acceptance; may follow rider notification
orders,rider_accepted_at,Recorded final rider acceptance,timestamp,datetime64[us],0,0.0,334144,source,Base de Pedidos (1).csv,Recorded final rider acceptance
orders,rider_notified_at,Recorded final rider notification,timestamp,datetime64[us],0,0.0,334144,source,Base de Pedidos (1).csv,Recorded final rider notification
orders,rider_at_pu,Recorded rider arrival at pickup,timestamp,datetime64[us],0,0.0,334144,source,Base de Pedidos (1).csv,Recorded rider arrival at pickup
orders,rider_picked_up,Recorded pickup,timestamp,datetime64[us],0,0.0,334144,source,Base de Pedidos (1).csv,Recorded pickup
orders,rider_at_do,Recorded destination arrival; endpoint matched by tiempo_real,timestamp,datetime64[us],482,0.0014424918597969738,333662,verified against elapsed time,Base de Pedidos (1).csv,Recorded destination arrival; endpoint matched by tiempo_real
orders,rider_droped_off,Recorded final handoff; source spelling retained,timestamp,datetime64[us],1558,0.004662660409883164,332586,source,Base de Pedidos (1).csv,Recorded final handoff; source spelling retained
orders,vehicle,Retained rider vehicle; availability at earlier dispatch attempts is unobserved,category,str,0,0.0,3,source,Base de Pedidos (1).csv,Retained rider vehicle; availability at earlier dispatch attempts is unobserved
orders,id_repartidor,Retained/final rider identifier; not the identity of a prior rejecting rider,identifier,string,0,0.0,5832,source,Base de Pedidos (1).csv,Retained/final rider identifier; not the identity of a prior rejecting rider
orders,order_status,Recorded final snapshot status,category,str,0,0.0,3,source,Base de Pedidos (1).csv,Recorded final snapshot status
orders,tiempo_estimado,Declared promised elapsed time,seconds,int64,0,0.0,1141,source interpretation; promise endpoint not independently documented,Base de Pedidos (1).csv,Declared promised elapsed time
orders,tiempo_real,Declared elapsed time; compare creation to destination arrival,seconds,int64,0,0.0,5792,"timestamp-verified, rounding tolerance 1 second",Base de Pedidos (1).csv,Declared elapsed time; compare creation to destination arrival
orders,pu_distance,Recorded final-rider approach distance,assumed metres,int64,0,0.0,3326,inferred; final assignment descriptor,Base de Pedidos (1).csv,Recorded final-rider approach distance
orders,do_distance,Recorded pickup-to-destination distance,assumed metres,int64,0,0.0,6234,inferred,Base de Pedidos (1).csv,Recorded pickup-to-destination distance
